Date,Open,High,Low,Close,Volume
05/22/2024,"183.88","185.22","181.97","183.13","28,148,779"
05/21/2024,"182.30","183.26","180.75","183.15","50,839,129"
05/20/2024,"184.34","186.67","183.28","183.54","30,511,770"
05/17/2024,"183.76","185.30","183.35","184.70","33,175,660"
05/16/2024,"185.60","187.31","183.46","183.63","38,834,449"
05/15/2024,"185.97","186.72","182.73","185.99","75,459,930"
05/14/2024,"183.82","187.72","183.45","187.07","38,698,160"
05/13/2024,"188.00","188.31","185.36","186.57","24,898,609"
05/10/2024,"189.16","189.89","186.93","187.48","34,141,770"
05/09/2024,"188.88","191.70","187.44","189.50","43,368,379"
05/08/2024,"187.44","188.43","186.39","188.00","26,136,350"
05/07/2024,"188.92","189.94","187.31","188.76","34,048,898"
05/06/2024,"186.28","188.75","184.80","188.70","34,725,301"
05/03/2024,"186.99","187.87","185.42","186.21","39,172,000"
05/02/2024,"180.85","185.10","179.91","184.72","54,303,512"
05/01/2024,"181.64","185.15","176.56","179.00","94,645,148"
04/30/2024,"181.09","182.99","174.80","175.00","94,639,789"
04/29/2024,"182.75","183.53","179.39","180.96","54,063,941"
04/26/2024,"177.80","180.82","176.13","179.62","43,919,770"
04/25/2024,"169.68","173.92","166.32","173.67","49,249,391"
04/24/2024,"179.94","180.32","176.18","176.59","34,185,113"
04/23/2024,"178.08","179.93","175.98","179.54","37,046,520"
04/22/2024,"176.94","178.87","174.56","177.23","37,924,887"
04/19/2024,"178.74","179.00","173.44","174.63","56,000,727"
04/18/2024,"181.47","182.39","178.65","179.22","30,723,789"
04/17/2024,"184.31","184.57","179.82","181.28","31,359,670"
04/16/2024,"183.27","184.83","182.26","183.32","32,891,270"
04/15/2024,"187.43","188.69","183.00","183.62","48,052,398"
04/12/2024,"187.72","188.38","185.08","186.13","38,608,848"
04/11/2024,"186.74","189.77","185.51","189.05","40,020,738"
04/10/2024,"182.77","186.27","182.67","185.95","35,879,152"
04/09/2024,"187.24","187.34","184.20","185.67","36,546,953"
04/08/2024,"186.90","187.29","184.81","185.19","39,221,281"
04/05/2024,"182.38","186.27","181.97","185.07","42,373,992"
04/04/2024,"184.00","185.10","180.00","180.00","41,624,262"
04/03/2024,"179.90","182.87","179.80","182.41","31,046,641"
04/02/2024,"179.07","180.79","178.38","180.69","32,611,551"
04/01/2024,"180.79","183.00","179.95","180.97","29,174,520"
03/28/2024,"180.17","181.70","179.26","180.38","38,051,594"
03/27/2024,"179.88","180.00","177.31","179.83","33,272,551"
03/26/2024,"180.15","180.45","177.95","178.30","29,658,980"
03/25/2024,"178.01","180.99","177.24","179.71","29,815,461"
03/22/2024,"177.75","179.26","176.75","178.87","27,995,381"
03/21/2024,"179.99","181.42","178.15","178.15","32,824,320"
03/20/2024,"176.14","178.53","174.64","178.15","29,947,150"
03/19/2024,"174.22","176.09","173.52","175.90","26,880,891"
03/18/2024,"175.80","176.69","174.28","174.48","31,250,689"
03/15/2024,"176.64","177.93","173.90","174.42","72,147,391"
03/14/2024,"177.69","179.53","176.47","178.75","43,705,840"
03/13/2024,"175.90","177.62","175.55","176.56","30,772,600"
03/12/2024,"173.50","176.76","171.98","175.39","36,610,602"
03/11/2024,"174.31","174.47","171.47","171.96","28,484,779"
03/08/2024,"176.44","178.79","174.33","175.35","37,893,238"
03/07/2024,"174.83","177.99","173.72","176.82","34,063,281"
03/06/2024,"175.54","176.46","173.26","173.51","32,090,930"
03/05/2024,"176.93","176.93","173.30","174.12","37,228,340"
03/04/2024,"177.53","180.14","177.49","177.58","37,381,520"
03/01/2024,"176.75","178.73","176.07","178.22","31,981,150"
02/29/2024,"173.01","177.22","172.85","176.76","53,805,359"
02/28/2024,"172.44","174.05","172.27","173.16","28,180,480"
02/27/2024,"174.08","174.62","172.86","173.54","31,141,730"
02/26/2024,"175.70","176.37","174.26","174.73","44,368,609"
02/23/2024,"174.28","175.75","173.70","174.99","59,715,238"
02/22/2024,"173.10","174.80","171.77","174.58","55,392,352"
02/21/2024,"168.94","170.23","167.14","168.59","44,575,621"
02/20/2024,"167.83","168.71","165.74","167.08","41,980,328"
02/16/2024,"168.74","170.42","167.17","169.51","48,107,738"
02/15/2024,"170.58","171.17","167.59","169.80","49,855,199"
02/14/2024,"169.21","171.21","168.28","170.98","42,815,539"
02/13/2024,"167.73","170.95","165.75","168.64","56,345,121"
02/12/2024,"174.80","175.39","171.54","172.34","51,050,441"
02/09/2024,"170.90","175.00","170.58","174.45","56,985,992"
02/08/2024,"169.65","171.43","168.88","169.84","42,316,449"
02/07/2024,"169.48","170.88","168.94","170.53","47,174,059"
02/06/2024,"169.39","170.71","167.65","169.15","42,505,520"
02/05/2024,"170.20","170.55","167.70","170.31","55,081,301"
02/02/2024,"169.19","172.50","167.33","171.81","117,218,305"
02/01/2024,"155.87","159.76","155.62","159.28","76,542,414"
01/31/2024,"157.00","159.01","154.81","155.20","50,284,367"
01/30/2024,"160.70","161.73","158.49","159.00","45,207,434"
01/29/2024,"159.34","161.29","158.90","161.26","45,270,391"
01/26/2024,"158.42","160.72","157.91","159.12","51,047,352"
01/25/2024,"156.95","158.51","154.55","157.75","43,638,594"
01/24/2024,"157.80","158.51","156.48","156.87","48,547,320"
01/23/2024,"154.85","156.21","153.93","156.02","37,986,039"
01/22/2024,"156.89","157.05","153.90","154.78","43,687,473"
01/19/2024,"153.83","155.76","152.74","155.34","51,651,633"
01/18/2024,"152.77","153.78","151.82","153.50","37,850,246"
01/17/2024,"151.49","152.15","149.91","151.71","34,953,359"
01/16/2024,"153.53","154.99","152.15","153.16","41,384,641"
01/12/2024,"155.39","156.20","154.01","154.62","40,484,160"
01/11/2024,"155.04","157.17","153.12","155.18","49,072,688"
01/10/2024,"152.06","154.42","151.88","153.73","44,421,832"
01/09/2024,"148.33","151.71","148.21","151.37","43,812,566"
01/08/2024,"146.74","149.40","146.15","149.10","46,757,047"
01/05/2024,"144.69","146.59","144.53","145.24","45,153,152"
01/04/2024,"145.59","147.38","144.05","144.57","56,039,809"
01/03/2024,"149.20","151.05","148.33","148.47","49,425,500"
01/02/2024,"151.54","152.38","148.39","149.93","47,339,422"
12/29/2023,"153.10","153.89","151.03","151.94","39,823,199"
12/28/2023,"153.72","154.08","152.95","153.38","27,057,000"
12/27/2023,"153.56","154.78","153.12","153.34","31,434,730"
12/26/2023,"153.56","153.98","153.03","153.41","25,067,221"
12/22/2023,"153.77","154.35","152.71","153.42","29,514,090"
12/21/2023,"153.30","153.97","152.10","153.84","36,305,727"
12/20/2023,"152.90","155.63","151.56","152.12","50,322,113"
12/19/2023,"154.40","155.12","152.69","153.79","43,171,289"
12/18/2023,"150.56","154.86","150.05","154.07","62,512,832"
12/15/2023,"148.38","150.57","147.88","149.97","110,089,297"
12/14/2023,"149.93","150.54","145.52","147.42","58,400,848"
12/13/2023,"148.12","149.46","146.82","148.84","52,766,199"
12/12/2023,"145.52","147.50","145.30","147.48","44,944,262"
12/11/2023,"145.66","146.19","143.64","145.89","50,907,289"
12/08/2023,"145.48","147.84","145.40","147.42","41,905,969"
12/07/2023,"146.15","147.92","145.34","146.88","52,352,832"
12/06/2023,"147.58","147.85","144.28","144.52","39,678,961"
12/05/2023,"143.55","148.57","143.13","146.88","46,822,406"
12/04/2023,"145.25","145.35","142.81","144.84","48,294,238"
12/01/2023,"146.00","147.25","145.55","147.03","39,951,832"
11/30/2023,"144.76","146.93","144.33","146.09","65,814,023"
11/29/2023,"147.85","148.54","145.97","146.32","40,610,910"
11/28/2023,"146.98","147.60","145.53","147.03","42,711,680"
11/27/2023,"147.53","149.26","146.88","147.73","53,762,434"
11/24/2023,"146.70","147.20","145.32","146.74","22,378,381"
11/22/2023,"144.57","147.74","144.57","146.71","45,700,000"
11/21/2023,"143.91","144.05","141.50","143.90","71,225,992"
11/20/2023,"145.13","146.63","144.73","146.13","41,978,770"
11/17/2023,"142.66","145.23","142.55","145.18","49,678,441"
11/16/2023,"140.91","143.32","139.52","142.83","49,653,512"
11/15/2023,"147.06","147.29","142.59","143.20","63,875,719"
11/14/2023,"145.00","147.26","144.68","145.80","56,674,551"
11/13/2023,"142.08","143.23","140.67","142.59","35,680,566"
11/10/2023,"140.46","143.65","139.91","143.56","49,349,941"
11/09/2023,"142.02","142.65","139.84","140.60","36,235,367"
11/08/2023,"142.97","143.12","141.22","142.08","44,521,660"
11/07/2023,"140.55","143.37","140.50","142.71","53,553,539"
11/06/2023,"138.76","140.73","138.36","139.74","44,970,422"
11/03/2023,"138.99","139.49","137.45","138.60","44,059,809"
11/02/2023,"138.73","138.81","136.47","138.07","52,236,688"
11/01/2023,"133.96","137.35","133.71","137.00","61,529,406"
10/31/2023,"132.75","133.57","131.71","133.09","51,589,379"
10/30/2023,"129.72","133.00","128.56","132.71","72,485,539"
10/27/2023,"126.20","130.02","125.52","127.74","125,309,297"
10/26/2023,"120.63","121.64","118.35","119.57","100,419,508"
10/25/2023,"126.04","126.34","120.79","121.39","74,577,539"
10/24/2023,"127.74","128.80","126.34","128.56","46,477,359"
10/23/2023,"124.63","127.88","123.98","126.56","48,259,953"
10/20/2023,"128.05","128.17","124.97","125.17","56,406,406"
10/19/2023,"130.57","132.24","127.47","128.40","60,961,359"
10/18/2023,"129.90","130.67","127.51","128.13","42,699,480"
10/17/2023,"130.39","132.58","128.71","131.47","49,344,551"
10/16/2023,"130.69","133.07","130.43","132.55","42,832,922"
10/13/2023,"132.98","133.31","128.95","129.79","45,824,688"
10/12/2023,"132.17","134.48","131.23","132.33","55,528,578"
10/11/2023,"129.74","132.05","129.61","131.83","40,741,840"
10/10/2023,"128.82","130.74","128.05","129.48","42,178,621"
10/09/2023,"126.22","128.79","124.76","128.26","38,773,738"
10/06/2023,"124.16","128.45","124.13","127.96","46,836,699"
10/05/2023,"126.71","126.73","124.33","125.96","39,660,641"
10/04/2023,"126.06","127.36","125.68","127.00","44,203,871"
